F;Abril
F;Agostina
M;Agustin
F;Agustina
M;Agustín
M;Alejo
F;Alfonsina
F;Alma
F;Alma Jazmin
F;Alma Mia
F;Alma Valentina
M;Alvaro
F;Ambar
F;Amparo
F;Ana Paula
F;Angelina
F;Antonella
F;Antonia
M;Antonio
M;Augusto
M;Bautista
M;Bautista Benjamin
M;Benicio
M;Benjamin
M;Benjamin Ezequiel
F;Bianca
M;Bruno
F;Camila
M;Camilo
F;Candela
F;Carmela
F;Catalina
M;Ciro
F;Clara
F;Constanza
M;Dante
F;Delfina
F;Elena
F;Emilia
M;Emiliano
F;Emma
M;Enzo
M;Ezequiel
M;Facundo
M;Fausto
M;Federico
F;Felicitas
M;Felipe
F;Florencia
F;Francesca
M;Francesco
F;Francisca
M;Francisco
M;Franco
M;Gael
M;Genaro
M;Geronimo
F;Giuliana
M;Gonzalo
M;Guadalupe
F;Guillermina
F;Helena
M;Ian
M;Ian Benjamin
M;Ignacio
F;Isabel
F;Isabella
F;Jazmin
F;Jazmín
M;Jeremias
M;Joaquin
F;Joaquina
M;Joaquín
F;Josefina
M;Juan
M;Juan Bautista
M;Juan Cruz
M;Juan Francisco
M;Juan Gabriel
M;Juan Ignacio
M;Juan Manuel
M;Juan Martin
M;Juan Pablo
F;Juana
F;Julia
M;Julian
F;Juliana
F;Julieta
F;Justina
F;Kiara
F;Lara
M;Lautaro
M;Lautaro Benjamin
M;Lautaro Ezequiel
M;Lautaro Nicolas
M;Lisandro
F;Lola
M;Lorenzo
F;Lourdes
F;Luana
M;Luca
M;Lucas
F;Lucia
F;Luciana
M;Luciano
M;Luciano Benjamin
M;Lucio
F;Lucía
F;Ludmila
F;Luisana
F;Luna
F;Luz Maria
F;Luz Milagros
F;Maia
F;Maite
F;Malena
M;Manuel
F;Maria Emilia
F;Maria Luz
F;Maria Paz
F;Maria Victoria
F;Martina
M;Martín
M;Mateo
M;Mateo Agustin
M;Mateo Benjamin
M;Mateo Ezequiel
M;Matias
F;Matilda
M;Maximo
F;Mia
F;Mia Jazmin
F;Mia Morena
F;Mia Valentina
F;Micaela
M;Miguel Angel
F;Milagros
F;Milena
M;Milo
F;Mora
F;Morena
F;Morena Jazmin
F;Nahiara Jazmin
M;Nicolas
F;Nina
M;Octavio
F;Olivia
F;Paloma
F;Paula
F;Paulina
M;Pedro
F;Pilar
M;Ramiro
F;Renata
M;Salvador
M;Santiago
M;Santiago Benjamin
M;Santino
M;Santino Benjamin
M;Santino Ezequiel
M;Santino Nicolas
F;Sara
M;Sebastian
M;Simon
F;Sofia
F;Sofia Belen
F;Sofía
M;Sol
M;Thiago
M;Thiago Agustin
M;Thiago Benjamin
M;Thiago Ezequiel
M;Thiago Leonel
M;Thiago Lionel
M;Thiago Nahuel
M;Thiago Nicolas
M;Thiago Valentin
F;Tiziana
M;Tiziano
M;Tiziano Benjamin
M;Tiziano Valentin
M;Tobias
M;Tomas
M;Tomas Benjamin
M;Tomàs
F;Uma
F;Uma 
M;Valentin
F;Valentina
F;Valentina 
F;Valentina Jazmin
M;Valentino
M;Vicente
F;Victoria
F;Violeta
F;Zoe
F;Zoe Jazmin
F;Zoe Valentina
