ESP;ES-AN;Andalucía (Andalusia)
ESP;ES-AR;Aragón (Aragon)
ESP;ES-AS;Asturias
ESP;ES-CN;Canarias (Canary Islands)
ESP;ES-CB;Cantabria
ESP;ES-CM;Castilla-La Mancha
ESP;ES-CL;Castilla y León
ESP;ES-CT;Cataluña (Catalonia)
ESP;ES-EX;Extremadura
ESP;ES-GA;Galicia
ESP;ES-IB;Illes Balears (Balearic Islands)
ESP;ES-RI;La Rioja
ESP;ES-MD;Madrid
ESP;ES-MC;Región de Murcia (Region of Murcia)
ESP;ES-NC;Navarra (Navarre)
ESP;ES-PV;País Vasco (Basque Country)
ESP;ES-VC;Comunitat Valenciana (Valencian Community)
ESP;ES-CE;Ceuta
ESP;ES-ML;Melilla
